table	column	type	not_null	default	primary_key	indexes	foreign_keys
account	id	TEXT	1		1	sqlite_autoindex_account_1	
account	accountId	TEXT	1		0		
account	providerId	TEXT	1		0		
account	userId	TEXT	1		0	CREATE INDEX `account_userId_idx` ON `account` (`userId`)	group 0 userId -> user.id ON DELETE CASCADE
account	accessToken	TEXT	0		0		
account	refreshToken	TEXT	0		0		
account	idToken	TEXT	0		0		
account	accessTokenExpiresAt	INTEGER	0		0		
account	refreshTokenExpiresAt	INTEGER	0		0		
account	scope	TEXT	0		0		
account	password	TEXT	0		0		
account	createdAt	INTEGER	1	unixepoch()	0		
account	updatedAt	INTEGER	1	unixepoch()	0		
activity_entries	id	TEXT	1		1	sqlite_autoindex_activity_entries_1	
activity_entries	kind	TEXT	1		0	CREATE INDEX `activity_entries_target_created_idx` ON `activity_entries` (`kind`,`target_user_id`,`created_at`); CREATE INDEX `activity_entries_org_created_idx` ON `activity_entries` (`kind`,`organization_id`,`created_at`); CREATE INDEX `activity_entries_site_created_idx` ON `activity_entries` (`kind`,`site_id`,`created_at`); CREATE INDEX `activity_entries_context_site_created_idx` ON `activity_entries` (`kind`,`context_site_id`,`created_at`)	
activity_entries	scope_kind	TEXT	1		0		
activity_entries	organization_id	TEXT	0		0	CREATE INDEX `activity_entries_org_created_idx` ON `activity_entries` (`kind`,`organization_id`,`created_at`)	group 7 organization_id -> organization.id ON DELETE CASCADE
activity_entries	site_id	TEXT	0		0	CREATE INDEX `activity_entries_site_created_idx` ON `activity_entries` (`kind`,`site_id`,`created_at`)	group 6 site_id -> sites.id ON DELETE CASCADE
activity_entries	context_site_id	TEXT	0		0	CREATE INDEX `activity_entries_context_site_created_idx` ON `activity_entries` (`kind`,`context_site_id`,`created_at`)	group 5 context_site_id -> sites.id ON DELETE SET NULL
activity_entries	location_id	TEXT	0		0		group 4 location_id -> business_locations.id ON DELETE SET NULL
activity_entries	request_id	TEXT	0		0	CREATE INDEX `activity_entries_request_occurred_idx` ON `activity_entries` (`request_id`,`occurred_at`); CREATE UNIQUE INDEX `activity_entries_request_sequence_unique` ON `activity_entries` (`request_id`,`sequence`)	group 3 request_id -> requests.id ON DELETE CASCADE
activity_entries	parent_id	TEXT	0		0	CREATE INDEX `activity_entries_parent_actor_idx` ON `activity_entries` (`parent_id`,`actor_user_id`,`occurred_at`); CREATE UNIQUE INDEX `activity_entries_notification_source_unique` ON `activity_entries` (`parent_id`) WHERE kind = 'notification' AND parent_id IS NOT NULL	group 2 parent_id -> activity_entries.id ON DELETE CASCADE
activity_entries	actor_kind	TEXT	1		0		
activity_entries	actor_user_id	TEXT	0		0	CREATE INDEX `activity_entries_parent_actor_idx` ON `activity_entries` (`parent_id`,`actor_user_id`,`occurred_at`)	group 1 actor_user_id -> user.id ON DELETE SET NULL
activity_entries	target_user_id	TEXT	0		0	CREATE INDEX `activity_entries_target_created_idx` ON `activity_entries` (`kind`,`target_user_id`,`created_at`)	group 0 target_user_id -> user.id ON DELETE SET NULL
activity_entries	channel	TEXT	0		0		
activity_entries	body	TEXT	0		0		
activity_entries	event_name	TEXT	0		0		
activity_entries	payload_json	TEXT	1	'{}'	0		
activity_entries	dedupe_key	TEXT	1		0	CREATE UNIQUE INDEX `activity_entries_dedupe_key_unique` ON `activity_entries` (`dedupe_key`)	
activity_entries	sequence	INTEGER	0		0	CREATE UNIQUE INDEX `activity_entries_request_sequence_unique` ON `activity_entries` (`request_id`,`sequence`)	
activity_entries	occurred_at	TEXT	1		0	CREATE INDEX `activity_entries_parent_actor_idx` ON `activity_entries` (`parent_id`,`actor_user_id`,`occurred_at`); CREATE INDEX `activity_entries_request_occurred_idx` ON `activity_entries` (`request_id`,`occurred_at`)	
activity_entries	created_at	TEXT	1	strftime('%Y-%m-%dT%H:%M:%fZ', 'now')	0	CREATE INDEX `activity_entries_target_created_idx` ON `activity_entries` (`kind`,`target_user_id`,`created_at`); CREATE INDEX `activity_entries_org_created_idx` ON `activity_entries` (`kind`,`organization_id`,`created_at`); CREATE INDEX `activity_entries_site_created_idx` ON `activity_entries` (`kind`,`site_id`,`created_at`); CREATE INDEX `activity_entries_context_site_created_idx` ON `activity_entries` (`kind`,`context_site_id`,`created_at`)	
analytics_events	id	TEXT	1		1	sqlite_autoindex_analytics_events_1	
analytics_events	kind	TEXT	1		0	CREATE INDEX `analytics_events_conversion_name_idx` ON `analytics_events` (`kind`,(payload_json ->> '$.event_name'),`created_at`); CREATE INDEX `analytics_events_site_visitor_idx` ON `analytics_events` (`site_id`,`kind`,`visitor_id`); CREATE INDEX `analytics_events_site_session_idx` ON `analytics_events` (`site_id`,`kind`,`session_id`); CREATE INDEX `analytics_events_site_kind_created_idx` ON `analytics_events` (`site_id`,`kind`,`created_at`)	
analytics_events	organization_id	TEXT	0		0		group 0 organization_id -> sites.organization_id ON DELETE CASCADE; group 3 organization_id -> organization.id ON DELETE CASCADE
analytics_events	site_id	TEXT	1		0	CREATE UNIQUE INDEX `analytics_events_conversion_entity_unique` ON `analytics_events` (`site_id`,(payload_json ->> '$.event_name'),(payload_json ->> '$.entity_type'),(payload_json ->> '$.entity_id')) WHERE kind = 'conversion' AND (payload_json ->> '$.entity_type') IS NOT NULL AND (payload_json ->> '$.entity_id') IS NOT NULL AND (payload_json ->> '$.event_name') IN ('contact_submit', 'reservation_submit', 'experience_booking_submit'); CREATE INDEX `analytics_events_conversion_entity_idx` ON `analytics_events` (`site_id`,(payload_json ->> '$.entity_type'),(payload_json ->> '$.entity_id')) WHERE kind = 'conversion'; CREATE INDEX `analytics_events_site_visitor_idx` ON `analytics_events` (`site_id`,`kind`,`visitor_id`); CREATE INDEX `analytics_events_site_session_idx` ON `analytics_events` (`site_id`,`kind`,`session_id`); CREATE INDEX `analytics_events_site_kind_created_idx` ON `analytics_events` (`site_id`,`kind`,`created_at`)	group 0 site_id -> sites.id ON DELETE CASCADE; group 2 site_id -> sites.id ON DELETE CASCADE
analytics_events	location_id	TEXT	0		0		group 1 location_id -> business_locations.id ON DELETE SET NULL
analytics_events	session_id	TEXT	0		0	CREATE INDEX `analytics_events_site_session_idx` ON `analytics_events` (`site_id`,`kind`,`session_id`)	
analytics_events	visitor_id	TEXT	0		0	CREATE INDEX `analytics_events_site_visitor_idx` ON `analytics_events` (`site_id`,`kind`,`visitor_id`)	
analytics_events	page_path	TEXT	0		0		
analytics_events	duration_seconds	INTEGER	0		0		
analytics_events	payload_json	TEXT	1		0		
analytics_events	created_at	TEXT	1	strftime('%Y-%m-%dT%H:%M:%fZ', 'now')	0	CREATE INDEX `analytics_events_conversion_name_idx` ON `analytics_events` (`kind`,(payload_json ->> '$.event_name'),`created_at`); CREATE INDEX `analytics_events_site_kind_created_idx` ON `analytics_events` (`site_id`,`kind`,`created_at`)	
analytics_summaries	id	TEXT	1		1	sqlite_autoindex_analytics_summaries_1	
analytics_summaries	kind	TEXT	1		0	CREATE UNIQUE INDEX `analytics_summaries_grain_unique` ON `analytics_summaries` (`site_id`,`kind`,`date`,`key`)	
analytics_summaries	organization_id	TEXT	1		0		group 0 organization_id -> sites.organization_id ON DELETE CASCADE; group 2 organization_id -> organization.id ON DELETE CASCADE
